name,price,image,rating
"Tecno Spark 10 Pro, 6.8"", 128GB + 8GB RAM (Dual SIM), 5000mAh, Lunar Eclipse","22,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/13/7388451/1.jpg?1254,4.7
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Ink Black","11,520",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/90/2338621/1.jpg?8497,4.4
"Samsung Galaxy A14 4G, 6.6"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Silver","20,799",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/99/5911421/1.jpg?1258,4.5
"Freeyond F9,2GB+64GB,6.52"", 13.0MP,4G Smartphone 5000mAh Dual SIM Android Phone,Blue","11,390",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/98/786019/1.jpg?4816,4
"XIAOMI Redmi 12C, 6.71'' ,3GB+64GB, 50MP, 5000mAh, 4G, Dual Sim - Graphite Grey","15,499",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/87/0072321/1.jpg?2023,4.3
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Jade White","11,520",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/44/4421021/1.jpg?2090,4.3
"XIAOMI Redmi A2 Plus, 6.52"" Display  2 GB + 32 GB 5000mAh (Dual SIM) -  Black","12,299",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/65/6626431/1.jpg?6492,4
"Freeyond F9,2GB+64GB,6.52"" 4G Smartphone,13.0MP 5000mAh, Dual SIM Android Phones,Black","11,390",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/59/786019/1.jpg?4815,4.1
"Tecno Spark 10C , 6.6"" FHD,128GB ROM+4GB RAM ,5000mAh,Meta Skin Blue","16,320",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/96/6676921/1.jpg?1626,4.3
"Tecno Pop  7, 6.6"" HD+, 2GB + 64GB, 8MP, 4G (Dual SIM) 5000MAh - Endless Black","12,099",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/18/1071321/1.jpg?4492,4.4
Oppo A83 4GB RAM+64GB Refurbished -4G LTE Dual SIM-5.7-inch- Face Unlock -Blue,"8,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/07/7295321/1.jpg?4096,3.6
"Infinix Hot 40i, 6.56"",4GB RAM,128GB, Android 13,5000mAh,, 4G -Starlit Black","16,099",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/94/5704321/1.jpg?4684,4.2
"Nokia C1 2nd Edition, 5.45"", 1GB +16GB - (DUAL SIM),Android 11, Blue","7,950",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/90/842585/1.jpg?8101,4
"Nokia C1 2nd Edition, 5.45"" - 16GB + 1GB (Dual Sim) 2500 MAh + SMART WATCH & AIRPODS","8,799",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/84/931235/1.jpg?7015,4.1
"XIAOMI Redmi Note 12, 6.67'' , 6GB+128GB, 50MP, Dual Sim, 33W Fast Charge-Onyx Gray","27,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/29/4934621/1.jpg?2006,4.4
Wireless Bluetooth In-Ear Earphone Stereo Headset,570,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/08/576237/1.jpg?7347,3.7
Smartwatch Business Bluetooth Waterproof Sport,780,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/61/6345511/1.jpg?7193,3.2
3Pcs/Set High Clarity Clear LCD Screen Protector Films For-,43,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/68/571007/1.jpg?2464,3
Bluetooth Wireless Earphones Headset Call Earbuds,549,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/26/239354/1.jpg?9250,3.4
Smart Bluetooth Watches For Ios And Android Bands,695,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/66/8345511/1.jpg?1570,2.6
Sokany 6A 120W USB To TYPE-C Charge Fast Cable 150CM,220,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/26/845224/1.jpg?5824,3.5
2Pcs 3.5/4.5/5/5.5/6cm Headphone Ear Sponge Pads ReplACE_ment Headset Accessory,34,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/32/594093/1.jpg?5886,5
Macaroon Bluetooth Wireless Earphones Sound Headsets Noise Cancelling HD Binaural Call -PINK,569,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/66/560454/1.jpg?5969,3.9
Smart Watch Camera Waterproof SIM CardWrist Watch,"1,739",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/57/7165511/1.jpg?9705,3.2
"Oraimo Deeper Bass, HD Sound Earphone + Mic",360,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/58/022033/1.jpg?5245,4.5
Macaroon Bluetooth Wireless EarphonesEarbuds-White,539,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/36/239354/1.jpg?9249,3.6
Replacement Silicone Adjustable Watch Band Wrist Strap,214,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/61/767518/1.jpg?3396,4.6
Wireless Fingerprint Blutooth Earphone Headset,599,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/76/7165511/1.jpg?9705,4.6
Nilkin For Xiaomi Redmi Note 12 Pro Plus(+) 5G With Camera Protector,"1,970",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/93/8575131/1.jpg?4657,5
"Oraimo Strong Bass , HD+Earphone + Free Smart Watch , Airpods","1,450",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/24/3480221/1.jpg?1974,3
"Oppo A17k, 6.56"", 64GB + 3GB RAM (Dual SIM), 5,000mAh, Blue","15,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/31/189399/1.jpg?5506,4.5
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Jade White","11,520",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/44/4421021/1.jpg?2090,4.3
"Tecno Pop  7, 6.6"" HD+, 2GB + 64GB, 8MP, 4G (Dual SIM) 5000MAh - Endless Black","12,099",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/18/1071321/1.jpg?4492,4.4
"Samsung Galaxy A14, 6.6"", 128GB + 4GB(Dual SIM), 5000 MAh, +CLASSY  GIFTS","24,499",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/03/5355031/1.jpg?4652,4.4
"Nokia C32, 64GB + 4GB (Upto 7GB RAM) 5000MAh, Android 13, Black-Charcoal","16,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/66/9635051/1.jpg?8629,4.2
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Silk Blue","11,520",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/70/4421021/1.jpg?2098,4.4
"Tecno Spark 10C , 6.6"" FHD,128GB ROM+4GB RAM ,5000mAh,Meta Skin Blue","16,320",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/96/6676921/1.jpg?1626,4.3
"XIAOMI Redmi A2+, 6.52"", 2GB+32GB, 8.0MP, 5000mAh, 4G , Dual SIM - Light Blue","11,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/04/6675131/1.jpg?7498,4.5
"Tecno Spark 20 ,Android 13,6.6"",128+8GB (4+4GB),50MP Camera,5000mAh,Gravity Black","28,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/46/4291641/1.jpg?6894,4.6
"XIAOMI Redmi 12C, 6.71"", 4GB + 128GB, 50MP CAM, 5000mAh, Blue","17,679",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/72/8399421/1.jpg?3631,4.4
"Tecno Spark 10C, 6.6"", 128GB + 4GB, Dual SIM, 5000mAh + Smart Watch & Power Bank","17,898",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/23/6248621/1.jpg?2303,4.6
"Freeyond F9,3GB+128GB,6.52"" 4G Smartphone,13.0MP 5000mAh, Dual SIM Android Phones","13,300",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/21/6122701/1.jpg?7504,4
"Tecno Camon 20  6.67-inch 256GB+8GB RAM-64 MP-battery-5000mAh-+ALL GIFTS,./CY//","28,899",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/84/5484131/1.jpg?1843,4.4
"Samsung Galaxy A14, 6.6"", 64GB + 4GB, 50MP, Dual SIM, 5000mAh, Silver + Free Gifts","20,599",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/38/2581321/1.jpg?8607,4.1
"Samsung Galaxy A14 4G, 6.6"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Black","22,499",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/95/5911421/1.jpg?1260,4.5
"Infinix Hot 40i, 6.6"",4GB RAM,128GB, Android 13,5000mAh,  4G -Starlit Black","16,099",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/49/2421021/1.jpg?4684,4.2
"Itel A04, 6.3"" Display, 32GB Storage + 2GB RAM, 4000mAh...+MAR11","8,495",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/90/7435921/1.jpg?1112,4
"XIAOMI Redmi A2+, 6.52"", 2GB+32GB, 8.0MP, 5000mAh, 4G , Dual SIM - Black","11,799",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/62/6675131/1.jpg?7710,4.4
"Infinix Hot 40i, 6.56"",4GB RAM,128GB, Android 13,5000mAh,, 4G -Starlit Black","16,099",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/94/5704321/1.jpg?4684,4.2
"Freeyond F9,4GB+64GB,6.52"" 4G Smartphone,13.0MP 5000mAh, Dual SIM Android Phones,Grey","12,500",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/36/0203941/1.jpg?7790,4.5
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Night Ink Black","11,399",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/51/3032951/1.jpg?6202,4.4
"Samsung Galaxy A04, 6.5"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black","15,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/08/6549121/1.jpg?9605,4.2
"XIAOMI Redmi 12c, 6.71'', 6GB RAM + 128GB (Dual SIM), 5000mAh, Graphite Grey","18,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/40/8646161/1.jpg?3908,4.4
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Ink Silk Blue","11,520",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/63/4421021/1.jpg?2093,4.5
"SIMI S502 - 5.""  HD + 1GB And 16GB.","4,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/32/1721801/1.jpg?6787,3.3
"Tecno Spark 10 Pro, 6.8"", 128GB + 8GB, 50MP, Dual SIM, 5000mAh - Pearl White + Smart Watch & Power Bank","22,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/63/9174321/1.jpg?1634,4.2
"Itel A18, Display 5.0"" Display Size(32GB +1GB)(Dual Sim)Battery 2400 MAh"",sply""","6,595",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/12/2389701/1.jpg?4109,3.9
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - (Jade) White","11,520",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/91/3032951/1.jpg?6202,4.9
"Tecno Spark 10 Pro, 6.8"", 128GB + 8GB RAM (Dual SIM), 5000mAh, Lunar Eclipse","22,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/13/7388451/1.jpg?1254,4.7
"Samsung Galaxy A24 4G, 6.5"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Black","29,799",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/13/8044131/1.jpg?1971,4.7
Itel S23 128GB + 4GB Android 12 +SMARTNETS 1,"13,240",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/69/5224751/1.jpg?1521,4.8
"Itel A04, 6.3"", Display Size2GB RAM + 32GB ROM, (Dual SIM), 4000mAh,sply""","8,490",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/64/2124031/1.jpg?8480,3.9
"Itel A04 4G, 6.3"", 32GB + 2GB RAM (Dual SIM), 4000mAh - Blue","8,490",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/08/2105241/1.jpg?7357,4.2
"Tecno Spark 10C, 6.6"", 128GB And UP TO 8GB RAM, Dual SIM, 5000mAh - Black + Phone Holder & Smart Watch","17,899",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/47/4959651/1.jpg?2212,5
"Tecno Pop  7 6.6""HD+, 2GB RAM+64GB, 8MP, 4G (Dual Sim) 5000MAh - Endless Black","10,650",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/53/1695511/1.jpg?6868,4.3
"Tecno Pop 7  6.6"" Display 2GB RAM + 64GB ROM, 8MP , 5000mAh, Black + Free Gifts","12,899",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/53/1775221/1.jpg?6934,4.4
"Nokia C1 2nd Edition, 5.45"", 1GB +16GB - (DUAL SIM),Android 11, Blue","7,950",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/90/842585/1.jpg?8101,4
"Oppo A58, 6.72'' 6GB RAM + 128GB ROM, 50Mp Camera, 4G LTE,  (Dual Sim), 5000mAh - Dazzling  Green + Smart watch & Earpods","26,299",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/40/2139061/1.jpg?0005,4.7
Oppo A83 4GB RAM+64GB Refurbished -4G LTE Dual SIM-5.7-inch- Face Unlock -Blue,"8,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/07/7295321/1.jpg?4096,3.6
Samsung Galaxy A51 5G 128GB HDD- 6GB RAM - Prism Cube Black,"22,990",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/23/0108051/1.jpg?3602,3.7
